CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 89efbbfa12241eb7b13b5f2f3bd8c534d7a9f1d5
uncommitted changes = True
seed = 42
engine_config_name = stockfish_classic_local_81000_nodes.ini
data_config_name = fens_board_transformations.ini
address = 127.0.0.1
port = 60004
password = password
remove_pawns = False
num_positions = 50000
transformations = ['rot90', 'rot180', 'rot270', 'flip_diag', 'flip_anti_diag', 'flip_hor', 'flip_vert']
result_subdir = 

fen,original,rot90,rot180,rot270,flip_diag,flip_anti_diag,flip_hor,flip_vert
K7/5k2/3Q4/2n2q2/4N2R/8/1r6/8 w - - 7 45,562,542,506,309,303,447,559,587
3R1B1k/7b/6n1/3N4/r7/6K1/8/8 w - - 19 66,79,101,99,86,87,95,86,88
2krq3/5n2/8/8/8/8/R3Q3/1KN5 w - - 9 39,472,325,338,340,298,370,342,318
2Q5/2R5/8/8/4K2k/7N/2n1r2q/8 w - - 4 42,-383,-356,-583,-552,-356,-480,-486,-484
8/8/5Q2/8/2k1q1KR/1r6/8/1n3N2 w - - 11 43,266,248,286,270,265,256,270,279
7N/8/1Bk5/3n4/7b/8/K3q3/6Q1 w - - 16 70,-358,-413,-367,-415,-441,-374,-362,-401
4k2N/8/4r3/3q4/1K5n/8/1QR5/8 w - - 15 50,-215,-368,-229,-257,-319,-334,-267,-297
2k5/K2N1Q2/6r1/6q1/3n4/8/8/4R3 w - - 3 35,718,3091,779,2846,755,833,3051,3059
8/5n2/3K2k1/Q2R4/4r3/7N/8/1q6 w - - 12 44,-239,-275,-226,-242,-162,-174,-301,-239
2B3n1/8/R2K4/6b1/N7/r7/k7/8 w - - 9 32,62,62,49,58,56,54,62,49
4b3/6K1/8/6q1/1B2k3/QR2r3/8/8 w - - 5 33,-126,-127,-108,-107,-153,-135,-135,-151
4RN2/4K3/7k/8/3R4/n7/r5r1/8 w - - 5 69,59,63,58,58,57,60,62,64
5qk1/8/8/4R3/7K/4Qr1N/7n/8 w - - 11 52,85,184,113,162,225,294,283,104
7r/8/8/q3n1K1/3k4/8/5RQN/8 w - - 11 37,-425,-354,-357,-354,-356,-475,-344,-349
6r1/Q7/6qN/3K4/8/7R/1k6/3n4 w - - 5 45,270,259,248,252,262,240,254,235
1n4r1/5q2/K6Q/8/3k4/8/5N1R/8 w - - 3 50,-2861,-867,-2901,-3194,-3448,-2916,-921,-3471
4Q3/8/5br1/6q1/3k4/8/R7/2K1B3 w - - 6 47,244,252,282,227,246,275,237,260
Q7/2B1k3/3n4/7q/2N5/3K4/8/6b1 w - - 4 69,396,462,405,419,400,394,365,404
8/8/r7/6kn/2R1K3/q7/5N1Q/8 w - - 8 50,31994,31994,31994,31994,31994,31994,31994,31994
5r2/1k6/8/3K1b2/R4RB1/8/8/4r3 w - - 16 69,164,169,169,170,170,170,167,173
2R1N3/8/6B1/7K/k7/8/b7/1r2n3 w - - 0 30,169,160,167,169,168,153,171,166
8/R1n4q/8/1QK1k3/5r2/8/8/2N5 w - - 14 51,171,186,173,167,171,179,181,175
8/2K5/8/R1Q5/1B6/1r6/2b5/1q1k4 w - - 0 59,366,3483,3348,3542,507,3392,3542,3359
8/R3Nk2/7K/B3n3/8/8/8/1rb5 w - - 3 69,-49,-38,-46,-44,-42,-37,-42,-45
8/6R1/1rq5/6B1/4k1b1/8/3Q4/K7 w - - 4 42,272,332,332,271,263,281,275,281
k7/2Q3B1/7b/1R6/7q/8/8/K4r2 w - - 1 45,-351,-351,-349,-333,-355,-345,-354,-350
5R2/3K4/7r/1q2b3/1B6/1Q6/6k1/8 w - - 10 55,-446,-368,-355,-355,-349,-355,-460,-360
3n4/2k3r1/8/8/K2N4/1R6/3Q4/7q w - - 9 52,335,357,359,581,372,390,585,435
4r3/4q3/2K5/6k1/Q2Rb3/8/8/5B2 w - - 6 66,-350,-349,-352,-349,-351,-345,-352,-348
8/1Q6/8/3B4/5n2/2q5/8/k1b1KN2 w - - 5 38,-161,-163,-182,-204,-179,-149,-184,-185
1k6/8/6K1/5Q2/B7/2R2b2/4q3/6r1 w - - 10 47,-134,-111,-21,-118,-168,-108,-154,-44
r7/8/2k5/8/1BB1b2K/3R4/8/5b2 w - - 16 66,67,64,76,74,74,62,64,69
K7/5R2/q1N5/8/2r5/8/k1n3Q1/8 w - - 8 30,263,248,231,260,250,247,257,231
8/q4b2/3k2n1/1K4Q1/1N6/8/8/4B3 w - - 1 60,73,87,89,62,73,113,68,70
6R1/2Bn1K2/3N4/8/8/1b2k3/r7/8 w - - 6 33,-35,-35,-31,-38,-37,-38,-37,-34
bqn4Q/8/5B1K/8/8/3N4/6k1/8 w - - 2 35,106,114,98,148,80,132,111,140
8/3k2B1/6B1/2b5/7Q/qb6/8/6K1 w - - 6 32,-147,-131,-154,-140,-165,-144,-154,-177
3r4/8/3b4/1K2k3/8/7B/7R/4nN2 w - - 12 42,47,44,47,46,44,47,46,42
1B4b1/8/k7/8/8/4Q3/q5BK/b7 w - - 5 64,109,90,89,141,119,155,136,85
8/8/7k/3b2r1/8/Q3KR2/B6q/8 w - - 5 30,1015,1003,2813,2896,904,909,2857,2866
2K5/3R4/4b3/8/2r1r3/1k6/8/3RB3 w - - 12 39,-161,-157,-149,-164,-162,-162,-164,-153
8/8/8/2b5/1k1n2q1/8/1N6/BKQ5 w - - 8 32,449,389,449,386,469,435,479,458
2n5/8/4R3/2K5/2NB4/5b2/r7/1k6 w - - 14 59,63,55,42,49,52,53,52,36
7n/3B4/8/3k4/3N4/7K/8/4b1Bb w - - 8 42,50,42,50,50,49,42,48,46
4q1b1/8/3k4/8/3n4/3N1K2/3B4/7Q w - - 3 67,-92,-120,-108,-128,-121,-115,-111,-91
8/3b4/5q2/8/4K3/NBn5/2Q5/7k w - - 13 62,-91,-111,-156,-141,-167,-136,-116,-125
8/4n3/3N4/8/2N5/7k/3n3r/1K1R4 w - - 8 33,35,11,13,11,21,11,28,19
b7/8/3k4/7n/q7/8/1K1N4/2Q1B3 w - - 3 42,109,75,77,74,96,92,68,103
8/8/8/8/2q3nN/2N4Q/1nk1K3/8 w - - 3 56,-88,-141,-163,-134,-130,-120,-138,-133
n3N2R/2r2K2/8/8/N7/1n4k1/8/8 w - - 0 36,41,37,33,36,38,39,38,31
3K4/8/8/8/3k1n2/3q4/5r1N/1Q5R w - - 4 48,24,23,22,19,22,24,23,40
N1QN4/1n4K1/q7/4k3/8/n7/8/8 w - - 4 59,112,111,104,137,118,132,117,92
5RK1/2k1NR2/8/8/4r3/8/r1n5/8 w - - 15 68,48,39,46,45,42,45,50,40
k2N4/8/5B1n/8/2R5/8/6r1/1K5b w - - 5 30,40,49,54,54,53,51,47,52
5R2/8/2r5/8/5N1q/5K2/Q7/2k3n1 w - - 18 70,-40,-58,-47,-48,-52,-56,-47,-37
3Nn3/6R1/3k4/2r3R1/8/8/1r3K2/8 w - - 5 55,-37,-42,-44,-43,-43,-43,-38,-46
8/7k/2Q5/1K6/1N6/1qn5/5n2/5N2 w - - 5 54,-121,-132,-122,-118,-95,-138,-136,-119
5b1Q/1Kr2q2/8/2k5/3R4/8/8/7B w - - 11 54,-31,-37,-30,-31,-29,-39,-27,-22
8/4N3/8/4R3/1kr5/8/2n4r/K1R5 w - - 12 41,-53,-60,-57,-55,-54,-60,-60,-65
6k1/4B3/8/4q1B1/b2b4/8/K2Q4/8 w - - 17 70,-80,-64,-50,-52,-35,-86,-55,-74
8/q2n4/8/N7/K5k1/2Q4N/8/6n1 w - - 14 48,80,96,101,86,72,99,92,113
4N1B1/kb6/8/1K2B3/8/8/5n2/2b5 w - - 4 60,41,42,46,39,39,42,39,46
4k3/1b5K/8/6b1/8/5B2/R5B1/1r6 w - - 11 42,77,77,78,80,81,73,73,73
q4b2/7Q/7B/8/3K4/5b2/1k6/1B6 w - - 1 30,20,42,15,37,14,39,20,70
7Q/5q2/6r1/8/1k1B4/8/7R/K5b1 w - - 0 44,35,44,46,42,45,15,27,32
1q4k1/2n5/3N3Q/R7/8/4K3/8/6r1 w - - 18 68,68,80,78,73,56,76,73,68
4B3/2NK4/8/5R2/8/6bn/8/1r1k4 w - - 9 60,35,35,31,39,34,34,31,30
4k3/5q2/8/K7/8/1N4Q1/1b6/n6B w - - 0 44,11,38,29,60,6,31,19,19
8/2q5/K4k2/8/Q7/8/3r4/R2B2b1 w - - 0 41,0,9,52,0,0,0,5,0
8/kr6/1n6/N7/8/7R/2n1N1K1/8 w - - 4 57,34,38,38,39,38,38,34,39
3R4/2r5/2b3R1/8/k7/1r4K1/2B5/8 w - - 2 36,36,27,32,36,35,34,39,39
5k2/K7/8/1Q6/5B2/8/2q4n/1b4N1 w - - 0 69,62,72,70,90,65,57,99,108
7r/4B3/8/N7/5bk1/8/8/2nR1K2 w - - 0 33,0,-3,-4,-34,-3,-3,0,-8
b5q1/8/7Q/8/8/n4K2/k7/3B3N w - - 3 60,-65,-51,-52,-36,-56,-81,-7,-80
b4B2/7b/8/2N3n1/2B5/8/5k2/7K w - - 19 69,-51,-47,-53,-53,-57,-46,-53,-56
r7/8/2n3k1/8/5K2/2N2R2/1B6/6b1 w - - 3 48,57,66,71,69,62,73,58,69
8/2Q4K/8/2N5/3bn3/8/2qk2B1/8 w - - 3 56,130,91,93,122,134,126,123,113
k7/2K5/8/1n4r1/1N2R3/4R3/8/r7 w - - 17 56,56,112,70,69,73,57,60,89
6N1/8/8/1b1r2k1/8/2B4R/6n1/2K5 w - - 12 63,55,50,49,45,46,50,56,50
8/K1R5/6k1/1N6/8/8/n7/2B2rb1 w - - 16 59,-66,-60,-58,-60,-57,-62,-68,-57
3R4/8/4b3/2K5/1rn5/1k6/4B1N1/8 w - - 14 49,67,62,55,63,62,55,69,57
4r3/8/5k2/1b2n3/3B4/8/7R/2K1N3 w - - 12 64,59,59,57,56,64,56,57,63
K4n2/8/8/8/r7/kN2R1Q1/1q6/8 w - - 4 37,589,502,481,590,614,573,577,686
1N6/6K1/8/6r1/7k/2R1R3/6n1/5r2 w - - 6 44,-83,-83,-166,-78,-81,-82,-87,-67
1K6/8/4b3/6k1/5n2/2B1NQ2/q7/8 w - - 14 62,127,112,102,96,105,141,119,132
8/8/2n2R2/1K1k4/1rN4N/8/7n/8 w - - 14 61,-57,-65,-57,-57,-62,-67,-62,-64
8/1K3k2/8/4B3/b2N4/8/8/1rn3R1 w - - 1 57,38,39,41,34,37,42,68,37
4n3/6q1/2b5/Q7/8/3k4/B7/3K1N2 w - - 15 68,213,176,126,124,185,216,200,163
NQ6/5q1k/8/2K5/2n5/1R6/3r4/8 w - - 20 67,345,327,336,307,307,335,454,411
4r3/2bk4/3B1RQ1/3q4/8/K7/8/8 w - - 2 48,591,3104,3049,3077,2975,3052,3013,2980
1B6/3k4/1K6/8/1R6/8/6Q1/qbr5 w - - 14 48,439,614,411,462,425,540,325,523
6BQ/3q1R1K/4b3/8/k7/8/3r4/8 w - - 9 58,196,286,291,179,173,279,287,168
7K/3r2n1/8/2R5/8/4N3/b7/k1B5 w - - 12 64,168,159,157,169,149,156,170,161
8/kb2BR2/1n5N/K7/8/3r4/8/8 w - - 4 31,34,37,38,39,38,37,34,42
7B/4R3/6b1/1n5k/8/7K/1N6/2r5 w - - 5 64,51,57,57,54,48,54,45,54
2n5/6B1/8/k6b/3RK3/4N3/8/2r5 w - - 20 68,74,71,82,73,77,67,68,81
5q2/4b3/1Q5B/5r2/1K2k3/8/8/R7 w - - 10 41,-341,-315,-300,-335,-316,-335,-352,-325
8/7R/8/6BN/2b4K/8/1n4r1/7k w - - 8 55,166,160,161,155,161,137,169,165
6Q1/4knN1/8/8/8/KB6/8/1b3q2 w - - 17 70,193,153,166,128,172,131,167,150
4q3/n7/6k1/8/8/6N1/4b1K1/2B1Q3 w - - 2 49,139,141,131,137,141,145,116,157
5n1R/7N/3K4/5r2/1n6/7N/2k5/8 w - - 2 36,53,47,45,53,51,46,56,45
3Q4/6q1/8/5kn1/8/2b5/4N3/2K4B w - - 11 62,127,145,137,124,129,128,134,128
2qb4/8/4R2Q/8/7K/1r6/3B1k2/8 w - - 7 70,-12,-16,0,-39,-35,-15,-16,-3
1K6/1NB5/7q/1k6/3b4/8/1n6/Q7 w - - 9 58,143,119,118,147,140,106,134,132
6kr/8/8/2n1N1N1/3n4/8/8/5KR1 w - - 9 36,31995,31995,175,175,174,31995,31995,172
8/K7/1b2B1Q1/5R2/1q5k/8/2r5/8 w - - 15 59,-31992,-31993,-31993,-31993,-31993,-31993,-31993,-31993
QR6/KN1k4/8/8/8/2r5/4q3/1n6 w - - 12 40,314,300,304,312,298,312,286,308
1B6/8/2k3b1/8/3B2b1/4R3/3K4/6r1 w - - 2 30,166,189,182,188,186,185,172,187
k7/b7/1R6/8/8/1Q3K1q/2B5/4r3 w - - 14 62,-355,-439,-321,-418,-327,-337,-399,-323
8/5r2/2RB4/8/3K3r/8/3k2b1/2R5 w - - 8 32,-237,-237,-206,-245,-235,-236,-233,-210
b2r4/2Q1B3/6k1/3q4/R7/8/8/6K1 w - - 7 44,319,235,236,319,286,262,261,388
2k4N/8/1q6/3R4/8/8/2n2r1K/2Q5 w - - 11 43,-295,-300,-286,-315,-313,-304,-328,-347
8/2R2Q2/6q1/8/5R2/4r3/8/K5rk w - - 7 36,-3084,-3101,-3068,-3032,-3103,-3059,-3006,-3066
8/8/6nr/8/3B4/2N3K1/1k6/b4R2 w - - 16 57,88,73,88,91,86,82,86,87
7r/8/4Q3/2q2K2/1k6/3R4/6n1/1N6 w - - 10 59,-238,-425,-640,-60,-411,-248,-429,-683
5Q2/3k1K1B/5B2/8/8/5bb1/8/3q4 w - - 21 68,316,281,304,309,307,299,311,300
5Q2/2b1r3/3k4/1q6/7R/8/8/2K3B1 w - - 10 60,155,192,183,181,248,177,215,295
5K2/r7/2Q4R/q6B/8/1k6/8/4b3 w - - 14 49,50,34,31,72,73,207,47,36
6rk/6b1/1B6/1K6/8/8/4R3/2Nn4 w - - 15 52,84,87,87,72,76,85,87,83
7Q/2B1N1K1/8/3b4/8/5k2/qn6/8 w - - 2 31,425,347,423,442,351,353,438,327
Q7/1N1r2qn/8/8/3k4/8/5R2/6K1 w - - 2 64,252,83,79,194,222,108,104,84
q6K/3r4/8/b1k5/2B5/8/2Q5/2R5 w - - 16 51,475,516,514,490,446,509,533,514
2R5/7K/8/n1N5/2k1r3/3b4/8/6B1 w - - 10 36,175,167,174,171,181,167,174,163
6kq/6r1/8/1b6/6K1/6B1/8/Q1R5 w - - 5 54,-259,-288,-279,-268,-276,-281,-262,-267
3K4/3N1R1B/8/5n2/5k2/4r1b1/8/8 w - - 3 41,61,59,56,58,56,62,59,59
n7/8/4Rbrk/K7/4N3/8/8/3B4 w - - 9 42,55,63,62,56,60,60,57,67
4R3/4B1b1/n7/N7/1K6/4r3/k7/8 w - - 18 68,-65,-79,-77,-79,-73,-81,-83,-67
2k5/8/8/1q1B4/b7/3Q4/1N5n/K7 w - - 11 46,115,140,133,142,159,144,95,135
1k6/8/3q1r2/Q7/R7/8/8/2n1NK2 w - - 6 62,-386,-303,-358,-350,-320,-310,-314,-321
3B1b2/B7/8/R1r5/6b1/6k1/8/5K2 w - - 8 58,154,165,163,158,159,162,154,160
7k/r7/1R6/3q4/8/K2N4/3Q4/6n1 w - - 2 42,-554,-531,-462,-570,-522,-555,-498,-573
8/1R1K4/1NB5/r7/n7/2b5/5k2/8 w - - 12 50,58,54,50,57,59,57,61,52
br6/1k6/3R4/B7/6K1/8/5r2/3R4 w - - 3 58,165,172,170,173,168,167,161,169
8/5n2/8/1Q6/8/2N2k2/7q/nN1K4 w - - 1 40,231,252,247,255,253,263,259,230
4k1NR/1r6/7B/8/8/8/n3K3/6b1 w - - 12 50,47,54,50,45,124,126,46,49
1n1k4/6q1/8/1N3R2/8/8/2K3r1/7Q w - - 15 61,-251,-218,-268,-310,-289,-283,-281,-278
4qN2/8/8/1NQ5/7n/3k4/8/2K4n w - - 7 31,185,230,172,213,229,252,196,197
8/8/r2R2K1/4Q3/1k4N1/8/q7/2n5 w - - 7 40,52,62,87,74,41,44,65,80
8/6br/K7/8/B1k5/3R4/4B3/b7 w - - 14 60,27,26,26,27,30,26,26,26
1R1n4/3k2r1/2N5/2R5/8/7r/1K6/8 w - - 16 69,62,57,65,75,79,77,72,65
5K2/8/k1q5/8/5QN1/5n2/8/5b1B w - - 17 69,112,109,120,137,127,111,118,135
8/5b2/8/5nq1/2k3N1/8/1K6/B2Q4 w - - 10 63,13,56,65,52,108,12,40,83
7k/8/2N1B3/2n5/2Q5/q7/8/1b5K w - - 1 69,33,21,62,72,0,52,24,0
5r2/2n2k2/8/8/2b5/R1N4B/3K4/8 w - - 6 33,45,58,47,42,44,58,47,54
7k/8/3QK1B1/3b4/8/8/6bB/5q2 w - - 10 58,0,0,0,0,0,0,0,4
8/R7/B2b4/1K6/r4q2/8/5k2/1Q6 w - - 11 47,0,0,0,0,13,0,0,0
8/2r3r1/6K1/8/7R/4k1N1/2n5/3R4 w - - 14 54,-76,-81,-70,-80,-81,-81,-71,-65
8/8/8/4B3/2R1R3/3k2r1/5b2/5r1K w - - 2 37,-55,-23,-38,-36,-35,-7,-38,-47
8/3k4/5b2/2r2q2/1K6/4Q3/8/3B3R w - - 1 67,172,174,175,173,179,173,175,176
6r1/7n/1N1kq3/5K2/R7/8/1Q6/8 w - - 2 34,-31996,-31996,-31996,-31996,-31996,-31996,-31996,-31996
6Q1/1K2NR2/8/qr5n/8/8/8/2k5 w - - 0 56,-31995,-31995,-31995,-31995,-31995,-31995,-31995,-31995
N2Q4/3b1q2/8/6K1/4n3/3k4/8/4B3 w - - 0 57,-564,-536,-541,-534,-654,-599,-475,-606
2k2r2/8/3n4/6KQ/6R1/2q5/6N1/8 w - - 5 40,-494,-486,-267,-479,-459,-478,-448,-528
rk6/1b6/5R2/7r/1R6/8/5B2/4K3 w - - 3 41,330,334,334,330,349,333,338,323
q7/5r2/3R4/8/5Nk1/8/5Q2/n2K4 w - - 1 52,299,295,446,457,282,335,394,425
8/5Q2/1k6/6R1/1q3K1b/5B2/8/1r6 w - - 11 47,-165,-158,-168,-164,-167,-159,-164,-167
8/r7/3b1kn1/8/8/8/3N3K/5B1R w - - 12 46,-56,-71,-68,-63,-57,-73,-65,-77
7b/3n4/8/8/8/2r1k3/4N2B/K3R3 w - - 18 65,154,168,168,152,153,163,154,162
3k4/8/1KR5/3r4/1b6/q7/5Q2/4B3 w - - 8 44,31992,31992,31992,797,31992,31992,656,31992
7B/6Q1/K6R/b1q5/8/5k2/8/6r1 w - - 8 64,818,360,355,358,327,329,355,421
6Bn/3q4/8/4K3/1Q6/8/1N4k1/7b w - - 14 68,433,421,401,424,417,417,421,386
4q2k/8/8/n4Q2/1b2N3/5BK1/8/8 w - - 10 34,268,286,293,289,298,277,277,285
2K5/3N4/rb6/8/6R1/1n6/8/2k3B1 w - - 8 66,69,70,73,80,73,70,73,73
2N4n/4rk2/5n2/4K3/6N1/8/8/6R1 w - - 6 56,41,42,41,44,37,44,41,44
2N5/2nBK3/8/8/4b2k/7r/5R2/8 w - - 5 50,34,31,65,53,60,32,57,62
1n6/2n5/3k2N1/8/K7/8/3q3N/7Q w - - 6 37,-88,-83,-115,-88,-85,-105,-86,-84
2R1K3/5rk1/4r3/3b4/B6R/8/8/8 w - - 18 68,-40,-45,-47,-44,-49,-48,-39,-35
1BB4K/8/8/R7/7b/4rb2/8/2k5 w - - 15 50,31,22,19,24,39,24,24,42
5K2/1rNR2Bb/8/k7/8/8/5n2/8 w - - 16 64,47,43,39,47,50,46,44,44
8/b6k/4K3/1B1N4/1R6/8/3n4/7r w - - 5 33,42,40,48,44,47,46,52,43
2n4k/6n1/K7/NN6/5R2/8/3r4/8 w - - 0 61,49,51,54,45,43,54,53,55
6k1/8/8/8/3N1n2/8/2Bqb3/Q5K1 w - - 16 62,0,16,42,0,0,0,16,6
2k2b2/n7/8/3K4/5B2/8/1r6/4R2N w - - 7 30,43,55,47,44,46,53,46,49
2K4Q/8/3N4/4N3/1k6/4q3/6n1/6n1 w - - 6 47,113,100,121,161,131,113,123,122
3N2K1/1Q6/8/8/4Rr2/8/3kn3/4q3 w - - 8 48,69,73,60,78,71,70,73,66
5b2/5N2/8/5K2/5B1R/1n4r1/6k1/8 w - - 4 34,34,31,30,31,38,31,34,30
8/2k3r1/8/3K4/6NR/5R2/1n6/6r1 w - - 9 45,32,47,44,36,58,40,37,44
k7/8/6bB/5b2/7Q/5K1B/8/6q1 w - - 13 49,0,0,0,0,0,0,0,0
2Q5/K7/3b4/8/R7/1r1q1k2/B7/8 w - - 2 36,86,63,39,94,90,126,46,56
8/2R5/r7/r7/1R6/3B2k1/4K2b/8 w - - 19 66,63,148,154,144,31,47,62,158
5r2/b5K1/8/2R5/6k1/2Q2q2/8/2B5 w - - 11 52,117,36,35,0,24,89,13,0
4Q3/5N2/7K/1n1R4/8/8/8/1qr2k2 w - - 4 59,341,325,269,339,337,271,289,310
8/7B/2k1N3/8/7Q/q7/3b4/2n4K w - - 1 40,279,273,317,303,294,274,279,321
3r4/8/K4R1Q/8/5B2/1k1q4/3b4/8 w - - 9 53,-467,-398,-402,-442,-421,-580,-943,-431
8/1r2k3/7K/8/4n3/6RN/5Q2/3q4 w - - 14 56,252,173,277,164,296,260,230,179
3N3Q/8/8/8/q4n1B/4k2K/8/2b5 w - - 3 46,-422,-621,-529,-578,-593,-424,-640,-628
2N4Q/8/3r4/7n/7R/8/1K4k1/3q4 w - - 6 36,181,185,177,178,176,176,179,180
1b6/8/Q7/5n2/4k1B1/1N6/7q/2K5 w - - 0 41,266,263,264,256,243,277,270,277
5k2/2B5/8/Nq6/b1n5/3Q4/8/1K6 w - - 13 44,-3024,-3086,-3075,-942,-3085,-3070,-3054,-3058
K6R/4R3/8/2k5/8/5b2/1rr5/4B3 w - - 14 67,-31991,-3010,-2904,-31992,-3029,-31989,-3048,-3008
4R3/1Q6/2r2q1n/kN6/8/5K2/8/8 w - - 1 33,-321,-283,-338,-335,-395,-360,-184,-324
7R/2rq1k2/7B/2QK4/8/8/8/5b2 w - - 1 46,-31992,-3114,-31992,-3097,-31990,-31992,-3536,-31992
8/7R/8/1k6/8/2Q5/B4b2/2Kr1q2 w - - 8 44,-268,-276,-279,-283,-291,-272,-265,-283
8/8/2r2n2/8/R1K3k1/4r3/1R6/2N5 w - - 14 55,40,47,39,42,42,40,41,42
3B4/N7/8/4n3/5bq1/1Q6/5k2/3K4 w - - 6 65,-130,-129,-138,-109,-118,-139,-118,-122
2r2r2/R7/8/RN5k/5n2/5K2/8/8 w - - 6 49,41,50,45,43,58,54,38,44
1n6/3k4/8/R7/7N/8/4r3/K2b1B2 w - - 3 35,36,51,58,57,56,53,42,54
6Q1/6b1/1b6/1B6/B7/1K6/1q6/3k4 w - - 0 50,-103,-91,-103,-94,-92,-83,-100,-93
5K2/8/8/1R6/r7/3N2q1/8/3knQ2 w - - 1 63,325,312,328,291,353,315,352,342
3K4/k7/2b2Q1B/8/8/3N4/6q1/5n2 w - - 19 60,321,335,344,312,350,420,347,352
3Q4/4RB2/2b5/6K1/8/6k1/5r2/5q2 w - - 3 49,240,310,196,175,177,222,203,186
8/r7/q1k4N/5Q2/1R6/8/7K/3n4 w - - 9 68,301,307,323,308,313,312,301,314
1K1R4/1B5k/8/5r2/nb6/8/3N4/8 w - - 10 39,46,140,46,134,38,161,147,149
1r5K/8/5Q2/3k4/2b5/8/q7/1B3R2 w - - 1 43,-189,-182,-178,-187,-191,-176,-179,-185
8/7R/K2Rbr2/2k5/8/8/1r5B/8 w - - 19 62,169,165,164,169,172,168,176,165
7Q/q1K5/1R6/8/8/k7/3r1b2/5B2 w - - 5 36,-31994,-31994,-31994,-31994,-31994,-31994,-31994,-31994
B7/8/R7/3Q4/2K2b2/4r1q1/8/2k5 w - - 9 54,104,157,42,42,106,165,44,48
8/8/4K1n1/1R6/5k2/5r2/6b1/B5N1 w - - 18 61,35,34,31,31,34,34,34,30
8/8/8/2k1r3/2n3q1/K7/1RQ5/7N w - - 16 64,-22,-49,-35,-54,-35,-52,-44,-41
1n1B4/6R1/2b5/4K3/6N1/2r5/3k4/8 w - - 17 60,35,31,30,34,31,31,31,31
6nr/N7/2N2K2/8/5R2/8/8/2n4k w - - 14 66,44,52,39,43,43,49,53,36
3R4/k7/3K4/8/1B6/8/8/1nrbN3 w - - 19 64,39,42,40,39,42,36,34,39
8/8/8/KRB5/Q7/2r1b2k/3q4/8 w - - 12 70,-47,-7,-26,-20,-19,-77,-47,-32
8/8/8/r4k2/4R3/8/K2b2BR/2r5 w - - 3 30,-60,-56,-45,-56,-43,-48,-48,-56
3R3K/8/1k6/8/1N5Q/n7/8/2qr4 w - - 4 40,118,178,86,85,85,70,70,78
8/1Q5R/N4n2/8/8/8/1K1rkq2/8 w - - 16 52,-307,-291,-275,-268,-269,-316,-307,-292
1k6/5n2/6r1/8/1K6/8/2b5/2N1RB2 w - - 3 47,46,51,51,50,47,49,47,53
4kr2/2R5/3n4/3N4/1R6/r3K3/8/8 w - - 1 52,46,46,49,46,45,47,47,48
1K2r3/8/8/2N5/6k1/3R1n2/1n6/N7 w - - 20 65,-35,-36,-38,-35,-31,-35,-38,-39
2k5/5b1B/8/5KB1/6Q1/q7/8/b7 w - - 10 59,11,15,53,15,12,55,11,15
3rk3/2q5/n7/8/8/7K/5Q1R/N7 w - - 6 56,204,234,231,228,218,224,206,235
nk3K2/3R1N2/8/b7/4B3/8/8/5r2 w - - 7 50,54,60,66,62,46,68,65,61
8/1R4N1/Kb6/B7/4k3/5n2/1r6/8 w - - 3 49,44,48,51,48,44,56,47,51
bBB5/8/7q/7k/8/K7/2b5/Q7 w - - 8 64,13,15,19,30,21,28,12,27
3b1r1k/8/2N5/1R4K1/8/8/7B/3n4 w - - 13 70,14,30,25,26,22,15,16,11
7r/8/8/8/k7/B1bb4/KR6/2B5 w - - 5 39,-3,-22,-14,-4,-8,-11,-3,-21
8/R2n1r2/8/8/6r1/5N2/4K2R/1k6 w - - 8 41,51,36,44,62,60,46,49,55
8/8/1R6/6B1/2k5/2r5/3B2bK/7b w - - 8 54,24,23,26,27,27,26,26,26
n3r3/8/r7/2R5/8/3R4/k5N1/5K2 w - - 4 40,62,47,48,59,42,48,52,50
5kr1/R2K2n1/8/8/3N2B1/8/8/1b6 w - - 9 45,29,22,21,21,23,21,31,21
2b3K1/8/6r1/8/1R5B/2r5/4R3/k7 w - - 18 58,55,47,13,47,43,43,47,39
1k6/3n4/3q4/2R5/Q1K3N1/8/3r4/8 w - - 4 65,-35,-12,-39,-16,-26,-21,-9,-13
Q7/B4q2/n6K/8/8/5N2/6k1/3b4 w - - 1 69,337,298,327,294,266,240,137,124
6q1/2R5/6k1/8/8/7B/4r3/QK5b w - - 1 37,277,283,294,265,269,301,295,285
1N6/4r3/5b2/8/4n3/8/k1B2R2/5K2 w - - 8 33,64,57,57,63,72,46,75,52
QNK1k3/6q1/8/8/3b4/B7/1n6/8 w - - 12 41,3234,577,462,433,88,509,522,401
3B4/kb6/8/8/KR6/1R6/8/4r2r w - - 5 41,144,102,108,125,111,119,121,113
5N2/1b2Bk2/8/3n3r/4R3/2K5/8/8 w - - 12 53,-60,-77,-68,-65,-69,-72,-61,-76
b7/2BK4/6R1/r7/r4R2/8/1k6/8 w - - 0 52,167,195,187,188,182,205,163,172
8/n1N5/4K3/5N2/5r2/3R4/n5k1/8 w - - 7 39,59,65,54,64,57,53,59,54
8/1k1r4/q7/3n4/8/4NK2/4R1Q1/8 w - - 8 40,51,46,49,67,58,72,108,132
4Nk2/b7/4R1B1/3K4/8/8/1r6/7n w - - 9 52,39,41,43,43,40,44,43,44
